exp_id,conversion_support,tick,opportunities,expected_choice_share,realized_choice_share,cumulative_opportunities,cumulative_expected_choice_share,cumulative_realized_choice_share
Rational-Hub-Delayed,present,30,60,0.48362540311827,0.4666666666666667,1599,0.5232387474840424,0.5084427767354597
Rational-Random-Immediate,absent,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Random-Immediate,absent,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Random-Immediate,absent,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Random-Immediate,absent,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
Rational-Random-Immediate,absent,5,55,0.48868364725469565,0.4727272727272727,282,0.5088013595841208,0.5283687943262412
Rational-Random-Immediate,absent,6,45,0.45218882329126847,0.4666666666666667,327,0.5010106435805172,0.5198776758409785
Rational-Random-Immediate,absent,7,47,0.48140720753753513,0.5106382978723404,374,0.49854711017404624,0.5187165775401069
Rational-Random-Immediate,absent,8,53,0.48324106781422227,0.49056603773584906,427,0.4966472969537402,0.5152224824355972
Rational-Random-Immediate,absent,9,65,0.45597849059475704,0.47692307692307695,492,0.4912743855445249,0.5101626016260162
Rational-Random-Immediate,absent,10,48,0.4700283658393422,0.3333333333333333,540,0.48938585045961985,0.49444444444444446
Rational-Random-Immediate,absent,11,58,0.5070278797347485,0.4827586206896552,598,0.4910969502889802,0.49331103678929766
Rational-Random-Immediate,absent,12,55,0.4850283990630292,0.41818181818181815,653,0.4905858165716336,0.4869831546707504
Rational-Random-Immediate,absent,13,55,0.46318589995979914,0.43636363636363634,708,0.48845729197608145,0.4830508474576271
Rational-Random-Immediate,absent,14,45,0.5474373499734014,0.5111111111111111,753,0.4919819966372759,0.4847277556440903
Rational-Random-Immediate,absent,15,50,0.4614946153561262,0.6,803,0.4900836540917498,0.4919053549190536
Rational-Random-Immediate,absent,16,57,0.39820099428803746,0.3684210526315789,860,0.48399375687220136,0.48372093023255813
Rational-Random-Immediate,absent,17,55,0.5270326524167323,0.45454545454545453,915,0.48658079430930434,0.4819672131147541
Rational-Random-Immediate,absent,18,60,0.48435039848431954,0.43333333333333335,975,0.486443539181613,0.47897435897435897
Rational-Random-Immediate,absent,19,50,0.5171936714131201,0.48,1025,0.4879435456319304,0.4790243902439024
Rational-Random-Immediate,absent,20,51,0.4766060283663216,0.45098039215686275,1076,0.4874061726016832,0.47769516728624534
Rational-Random-Immediate,absent,21,52,0.459067084641101,0.36538461538461536,1128,0.4860997607453443,0.4725177304964539
Rational-Random-Immediate,absent,22,41,0.4926503022847539,0.3902439024390244,1169,0.48632950600036207,0.4696321642429427
Rational-Random-Immediate,absent,23,70,0.4794438199750698,0.5,1239,0.4859404841910235,0.47134786117836963
Rational-Random-Immediate,absent,24,46,0.48618807324813995,0.5217391304347826,1285,0.48594934730123934,0.47315175097276263
Rational-Random-Immediate,absent,25,56,0.4100035906168379,0.375,1341,0.4827778615634866,0.4690529455630127
Rational-Random-Immediate,absent,26,58,0.4604399476691397,0.4827586206896552,1399,0.4818517722097539,0.46962115796997855
Rational-Random-Immediate,absent,27,49,0.507226985712565,0.3469387755102041,1448,0.4827104638269071,0.4654696132596685
Rational-Random-Immediate,absent,28,47,0.475014281815952,0.5319148936170213,1495,0.4824685102787366,0.46755852842809364
Rational-Random-Immediate,absent,29,44,0.49571054074890736,0.4772727272727273,1539,0.48284709984383567,0.4678362573099415
Rational-Random-Immediate,absent,30,60,0.45583006116360436,0.45,1599,0.48183332728547806,0.46716697936210133
Rational-Random-Immediate,present,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Random-Immediate,present,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Random-Immediate,present,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Random-Immediate,present,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
Rational-Random-Immediate,present,5,55,0.48868364725469565,0.4727272727272727,282,0.5088013595841208,0.5283687943262412
Rational-Random-Immediate,present,6,45,0.5133368179723751,0.5111111111111111,327,0.5094255052338805,0.5259938837920489
Rational-Random-Immediate,present,7,47,0.5382785354177899,0.574468085106383,374,0.5130514207917515,0.5320855614973262
Rational-Random-Immediate,present,8,53,0.5419957156036259,0.5849056603773585,427,0.516644038180579,0.5386416861826698
Rational-Random-Immediate,present,9,65,0.512084638507485,0.49230769230769234,492,0.5160416784676702,0.532520325203252
